genres,movie_title,num_voted_users,cast_total_facebook_likes,plot_keywords,movie_imdb_link,num_user_for_reviews,title_year,imdb_score
Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice ,371639,24450,based on comic book|batman|sequel to a reboot|superhero|superman,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018,2016,6.9
Action|Adventure|Sci-Fi,Superman Returns ,240396,29991,crystal|epic|lex luthor|lois lane|return to earth,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367,2006,6.1
Action|Adventure,Quantum of Solace ,330784,2023,action hero|attempted rape|bond girl|official james bond series|revenge,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243,2008,6.7
Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,box office hit|giant squid|heart|liar's dice|monster,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832,2006,7.3
Action|Adventure|Western,The Lone Ranger ,181792,45757,horse|outlaw|texas|texas ranger|train,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,711,2013,6.5
Action|Adventure|Fantasy|Sci-Fi,Man of Steel ,548573,20495,based on comic book|british actor playing american character|final battle|origin of hero|reboot,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2536,2013,7.2
Action|Adventure|Family|Fantasy,The Chronicles of Narnia: Prince Caspian ,149922,22697,brother brother relationship|brother sister relationship|good versus evil|king|narnia,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,438,2008,6.6
Action|Adventure|Sci-Fi,The Avengers ,995415,87697,alien invasion|assassin|battle|iron man|soldier,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,1722,2012,8.1
Action|Adventure|Fantasy,Pirates of the Caribbean: On Stranger Tides ,370704,54083,blackbeard|captain|pirate|revenge|soldier,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,484,2011,6.7
Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Men in Black 3 ,268154,12572,alien|criminal|m.i.b.|maximum security prison|prison,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,341,2012,6.8
Adventure|Fantasy,The Hobbit: The Battle of the Five Armies ,354228,9152,army|elf|hobbit|middle earth|orc,http://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,802,2014,7.5
Action|Adventure|Fantasy,The Amazing Spider-Man ,451803,28489,lizard|outcast|spider|spider man|teenager,http://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,1225,2012,7
Action|Adventure|Drama|History,Robin Hood ,211765,3244,1190s|archer|england|king of england|robin hood,http://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,546,2010,6.7
Adventure|Fantasy,The Hobbit: The Desolation of Smaug ,483540,9152,dwarf|elf|lake town|mountain|sword and sorcery,http://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,951,2013,7.9
Adventure|Family|Fantasy,The Golden Compass ,149019,24106,children|epic|friend|girl|quest,http://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,666,2007,6.1
Action|Adventure|Drama|Romance,King Kong ,316018,7123,animal name in title|ape abducts a woman|gorilla|island|king kong,http://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2618,2005,7.2
Drama|Romance,Titanic ,793059,45223,artist|love|ship|titanic|wet,http://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,2528,1997,7.7
Action|Adventure|Sci-Fi,Captain America: Civil War ,272670,64798,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,http://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,1022,2016,8.2
Action|Adventure|Sci-Fi|Thriller,Battleship ,202382,26679,box office flop|hawaii|naval|oahu hawaii|ship,http://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,751,2012,5.9
Action|Adventure|Sci-Fi|Thriller,Jurassic World ,418214,8458,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,http://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,1290,2015,7
Action|Adventure|Thriller,Skyfall ,522030,2039,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,http://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,1498,2012,7.8
Action|Adventure|Fantasy|Romance,Spider-Man 2 ,411164,43388,death|doctor|scientist|super villain|tentacle,http://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,1303,2004,7.3
Action|Adventure|Sci-Fi,Iron Man 3 ,557489,30426,armor|explosion|human bomb|missile attack|terrorist,http://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,1187,2013,7.2
Adventure|Family|Fantasy,Alice in Wonderland ,306320,79957,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,http://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,736,2010,6.5
Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand ,383427,21714,battle|mutant|outrage|walking through a wall|x men,http://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,1912,2006,6.8
Adventure|Animation|Comedy|Family|Fantasy,Monsters University ,235025,14863,cheating|fraternity|monster|singing in a car|university,http://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,265,2013,7.3
Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen ,323207,3218,autobot|decepticon|machine|sun|symbol,http://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,1439,2009,6
Action|Adventure|Sci-Fi,Transformers: Age of Extinction ,242420,3988,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,http://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,918,2014,5.7
Adventure|Family|Fantasy,Oz the Great and Powerful ,175409,73441,circus|magic|magician|oz|witch,http://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,511,2013,6.4
Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2 ,321227,28631,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,http://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,1067,2014,6.7
Action|Adventure|Sci-Fi,TRON: Legacy ,264183,25550,arcade|bridge|disappearance|escape|warrior,http://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,665,2010,6.8
Adventure|Animation|Comedy|Family|Sport,Cars 2 ,101178,4482,best friend|car race|conspiracy|gadget car|spy,http://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,283,2011,6.3
Action|Adventure|Sci-Fi,Green Lantern ,223393,17657,autopsy|lantern|planet|ring|test pilot,http://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,550,2011,5.6
Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3 ,544884,19085,college|day care|escape|teddy bear|toy,http://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,733,2010,8.3
Action|Adventure|Sci-Fi,Terminator Salvation ,286095,27468,death row|future|machine|rescue|skynet,http://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,974,2009,6.6
Action|Crime|Thriller,Furious 7 ,278232,79150,car falling off a cliff|hospital|revenge|star died before release|terrorist,http://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,657,2015,7.2
Action|Adventure|Horror|Sci-Fi|Thriller,World War Z ,465019,32392,chaos|disease|infection|pandemic|zombie,http://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,995,2013,7
Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past ,514125,91434,dystopia|super strength|supernatural power|time paradox|time travel,http://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,752,2014,8
Action|Adventure|Sci-Fi,Star Trek Into Darkness ,395573,21411,admiral|captain|manhunt|mission|space,http://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,1171,2013,7.8
Adventure|Fantasy,Jack the Giant Slayer ,106416,1766,bean|giant|king|no opening credits|princess,http://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,205,2013,6.3
Drama|Romance,The Great Gatsby ,362912,29770,ingratitude|mansion|party|title appears in writing|tragedy,http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,753,2013,7.3
Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time ,222403,16149,alamut|dagger|king|persia|princess,http://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,453,2010,6.6
Action|Adventure|Sci-Fi,Pacific Rim ,381148,19166,giant monster|kaiju|pilot|portal|robot,http://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,1106,2013,7
Action|Adventure|Sci-Fi,Transformers: Dark of the Moon ,326180,2593,autobot|decepticon|job interview|moon|spacecraft,http://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,899,2011,6.3
Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull ,333847,14959,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,http://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2054,2008,6.2
Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur ,62836,696,apatosaurus|asteroid|dinosaur|fear|river,http://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,345,2015,6.8
Adventure|Animation|Comedy|Family|Fantasy,Brave ,273556,5005,archery|coming of age|female warrior|princess|rebellious daughter,http://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,428,2012,7.2
Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond ,53607,1327,hatred|sequel|space opera|star trek|third part,http://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,432,2016,7.5
Adventure|Animation|Family|Sci-Fi,WALL·E ,718837,2975,earth|obesity|plant|robot|soil,http://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,1043,2008,8.4
Action|Comedy|Crime|Thriller,Rush Hour 3 ,121084,1125,ambassador|assassination|chinese|french|triad,http://www.imdb.com/title/tt0293564/?ref_=fn_tt_tt_1,221,2007,6.2
Action|Adventure|Sci-Fi,2012 ,283418,2144,ark|catastrophe|geologist|president|writer,http://www.imdb.com/title/tt1190080/?ref_=fn_tt_tt_1,1055,2009,5.8
Animation|Drama|Family|Fantasy,A Christmas Carol ,72809,48878,charles dickens|christmas|christmas eve|ghost|scrooge,http://www.imdb.com/title/tt1067106/?ref_=fn_tt_tt_1,249,2009,6.8
Action|Adventure|Sci-Fi,Jupiter Ascending ,139593,47334,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,http://www.imdb.com/title/tt1617661/?ref_=fn_tt_tt_1,720,2015,5.4
Action|Adventure|Drama|Romance,The Legend of Tarzan ,42372,21175,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,2016,6.6
Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,1317,hide and seek|lion|magic|professor|snow,http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1,1463,2005,6.9
Action|Adventure|Sci-Fi,X-Men: Apocalypse ,148379,49684,mutant|superhero|superhero team|x men|year 1983,http://www.imdb.com/title/tt3385516/?ref_=fn_tt_tt_1,622,2016,7.3
Action|Crime|Drama|Thriller,The Dark Knight ,1676169,57802,based on comic book|dc comics|psychopath|star died before release|urban setting,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667,2008,9
Adventure|Animation|Comedy|Family,Up ,665575,2635,balloon|house|promise|retirement|skeleton,http://www.imdb.com/title/tt1049413/?ref_=fn_tt_tt_1,704,2009,8.3
Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliens ,114553,2579,alien|alien invasion|alien space craft|giant|giantess,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,187,2009,6.5
Action|Adventure|Sci-Fi,Iron Man ,696338,39252,afghanistan|billionaire|inventor|playboy|u.s. air force,http://www.imdb.com/title/tt0371746/?ref_=fn_tt_tt_1,1055,2008,7.9
Adventure|Drama|Family|Mystery,Hugo ,245333,36017,automaton|mechanical|railway station|steampunk|train,http://www.imdb.com/title/tt0970179/?ref_=fn_tt_tt_1,678,2011,7.5
Action|Comedy|Sci-Fi|Western,Wild Wild West ,129601,15870,buddy movie|general|inventor|steampunk|utah,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,648,1999,4.8
Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor ,117927,9131,army|china|emperor|mummy|shangri la,http://www.imdb.com/title/tt0859163/?ref_=fn_tt_tt_1,501,2008,5.2
Action|Adventure|Comedy|Sci-Fi,Suicide Squad ,118992,11287,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,http://www.imdb.com/title/tt1386697/?ref_=fn_tt_tt_1,971,2016,6.9
Comedy|Family|Fantasy,Evan Almighty ,115099,108016,ark|change|congressman|depiction of god|flood,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,257,2007,5.4
Action|Adventure|Sci-Fi,Edge of Tomorrow ,431620,12652,alien|combat|dying repeatedly|end of the world|time loop,http://www.imdb.com/title/tt1631867/?ref_=fn_tt_tt_1,741,2014,7.9
Action|Adventure|Sci-Fi|Thriller,Waterworld ,144337,1004,future|sail|sea|smoker|water,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,309,1995,6.1
Action|Adventure|Sci-Fi|Thriller,G.I. Joe: The Rise of Cobra ,174578,26683,cobra|gi joe|snake|train|warhead,http://www.imdb.com/title/tt1046173/?ref_=fn_tt_tt_1,534,2009,5.8
Adventure|Animation|Comedy|Drama|Family|Fantasy,Inside Out ,345198,2944,anger|joy|memory|running away|sadness,http://www.imdb.com/title/tt2096673/?ref_=fn_tt_tt_1,773,2015,8.3
Adventure|Drama|Family|Fantasy,The Jungle Book ,106072,32921,fire|jungle|remake|tiger|wolf,http://www.imdb.com/title/tt3040964/?ref_=fn_tt_tt_1,398,2016,7.8
Action|Adventure|Sci-Fi,Iron Man 2 ,522371,48638,hammer|military|monaco|revenge|tony stark,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723,2010,7
Action|Adventure|Drama|Fantasy,Snow White and the Huntsman ,228554,72881,evil queen|fairy tale|magic|queen|snow white,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,710,2012,6.1
Action|Adventure|Family|Fantasy|Romance,Maleficent ,252257,15516,curse|dark fantasy|fairy|king|kingdom,http://www.imdb.com/title/tt1587310/?ref_=fn_tt_tt_1,634,2014,7
Action|Adventure|Drama|Sci-Fi,Dawn of the Planet of the Apes ,317542,14363,ape|dam|leader|post apocalypse|sequel,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,620,2014,7.6
Action|Adventure|Romance|Sci-Fi,The Lovers ,2138,1982,1770s|british india|great barrier reef|india|ring,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,15,2015,4.5
Action|Adventure|Drama|Fantasy,47 Ronin ,116994,20965,box office flop|ronin|samurai|shogun|tournament,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,324,2013,6.3
Action|Adventure|Sci-Fi,Captain America: The Winter Soldier ,496749,36188,conspiracy|heroism|megalomaniac|super soldier|world domination,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,742,2014,7.8
Adventure|Animation|Comedy|Family|Fantasy,Shrek Forever After ,138661,4628,alternate world|fairy tale parody|female warrior|ogre|true love,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,173,2010,6.4
Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland ,128306,5046,boy genius|futuristic city|inventor|teenage girl|time travel,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,497,2015,6.5
Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6 ,279093,2963,high tech|martial arts|masked man|robot|superhero,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,433,2014,7.9
Adventure|Animation|Comedy|Family|Sci-Fi,Wreck-It Ralph ,272534,4451,arcade|candy|glitch|king|medal,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,345,2012,7.8
Adventure|Animation|Family|Fantasy,The Polar Express ,120798,16264,boy|christmas|christmas eve|north pole|train,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,444,2004,6.6
Action|Adventure|Sci-Fi,Independence Day: Resurgence ,58137,3233,alien|battle|defense|independence day|mothership,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,520,2016,5.5
Adventure|Animation|Family|Fantasy,How to Train Your Dragon ,485430,20453,dragon|island|training|viking|village,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,492,2010,8.2
Action|Sci-Fi,Terminator 3: Rise of the Machines ,305340,1769,drifter|exploding truck|future|machine|skynet,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676,2003,6.4
Action|Adventure|Sci-Fi,Guardians of the Galaxy ,682155,32438,bounty hunter|outer space|raccoon|talking animal|tree,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,1097,2014,8.1
Adventure|Drama|Sci-Fi,Interstellar ,928227,31488,black hole|father daughter relationship|saving the world|space travel|wormhole,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,2725,2014,8.6
Action|Adventure|Sci-Fi|Thriller,Inception ,1468200,81115,ambiguous ending|corporate espionage|dream|subconscious|thief,http://www.imdb.com/title/tt1375666/?ref_=fn_tt_tt_1,2803,2010,8.8
Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence ,374,699,blood|godzilla|monster|sequel,http://www.imdb.com/title/tt4262980/?ref_=fn_tt_tt_1,13,2016,8.2
Adventure|Fantasy,The Hobbit: An Unexpected Journey ,637246,9152,dragon|dwarf|hobbit|orc|wizard,http://www.imdb.com/title/tt0903624/?ref_=fn_tt_tt_1,1367,2012,7.9
Action|Crime|Thriller,The Fast and the Furious ,272223,45327,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,988,2001,6.7
Drama|Fantasy|Romance,The Curious Case of Benjamin Button ,459346,13333,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1,822,2008,7.8
Action|Adventure|Sci-Fi,X-Men: First Class ,518537,50983,cia|cia agent|mutant|nuclear war|professor,http://www.imdb.com/title/tt1270798/?ref_=fn_tt_tt_1,698,2011,7.8
Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2 ,166137,81385,death of sister|dystopia|execution|rebellion|revolution,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,383,2015,6.6
Action|Adventure|Family|Fantasy,The Sorcerer's Apprentice ,124185,13388,chosen one|enchanted object|love|spell|training,http://www.imdb.com/title/tt0963966/?ref_=fn_tt_tt_1,238,2010,6.1
Action|Adventure|Drama|Thriller,Poseidon ,82380,92456,cruise|escape|ocean|passenger|water,http://www.imdb.com/title/tt0409182/?ref_=fn_tt_tt_1,629,2006,5.6
Adventure|Family|Fantasy,Alice Through the Looking Glass ,21352,80806,clock|dark fantasy|mad hatter|queen|sequel,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,131,2016,6.4
Adventure|Animation|Comedy|Family|Fantasy,Shrek the Third ,211971,4705,disney spoof|fairy tale|prince|princess|tough guy,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,326,2007,6.1
Action|Adventure|Fantasy,Warcraft ,111609,5505,based on video game|fictional language|fictional war|orc|sword and sorcery,http://www.imdb.com/title/tt0803096/?ref_=fn_tt_tt_1,781,2016,7.3
Action|Adventure|Sci-Fi,Terminator Genisys ,188457,38873,alternate timeline|cyborg|future|robot|time machine,http://www.imdb.com/title/tt1340138/?ref_=fn_tt_tt_1,867,2015,6.6
Adventure|Family|Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader ,106446,764,dragon|king|mouse|quest|warrior,http://www.imdb.com/title/tt0980970/?ref_=fn_tt_tt_1,227,2010,6.3
Action|Drama|History|Romance|War,Pearl Harbor ,254111,5401,air raid|black smoke|japanese military|japanese navy|sunday,http://www.imdb.com/title/tt0213149/?ref_=fn_tt_tt_1,1999,2001,6.1
Action|Adventure|Sci-Fi,Transformers ,513158,2333,alien contact|autobot|decepticon|robot vs. robot|teenage hero,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,1782,2007,7.1
Action|Adventure|Biography|Drama|History|Romance|War,Alexander ,138863,24598,ancient greece|conquest|greek|greek myth|king,http://www.imdb.com/title/tt0346491/?ref_=fn_tt_tt_1,1390,2004,5.5
Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix ,355137,33433,battle|magic|school|teacher|wizard,http://www.imdb.com/title/tt0373889/?ref_=fn_tt_tt_1,1108,2007,7.5
Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire ,385670,53413,fire|goblet|magic|tournament|wizard,http://www.imdb.com/title/tt0330373/?ref_=fn_tt_tt_1,1896,2005,7.6
Action|Drama,Hancock ,343648,21584,bully comeuppance|destruction|prison|superhero|tough girl,http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1,590,2008,6.4
Drama|Horror|Sci-Fi,I Am Legend ,530870,13076,new york city|pandemic|post apocalypse|survivalist|virus,http://www.imdb.com/title/tt0480249/?ref_=fn_tt_tt_1,1413,2007,7.2
Adventure|Comedy|Family|Fantasy,Charlie and the Chocolate Factory ,320284,57844,chocolate|diminution|miniaturization|physical flexability|ticket,http://www.imdb.com/title/tt0367594/?ref_=fn_tt_tt_1,1361,2005,6.7
Animation|Comedy|Family|Fantasy,Ratatouille ,473887,4764,chef|food|french|rat|restaurant,http://www.imdb.com/title/tt0382932/?ref_=fn_tt_tt_1,626,2007,8
Action|Adventure,Batman Begins ,980946,59558,armored car|gangster|gotham|mixed martial arts|social decay,http://www.imdb.com/title/tt0372784/?ref_=fn_tt_tt_1,2685,2005,8.3
Action|Adventure|Animation|Comedy|Family,Madagascar: Escape 2 Africa ,146019,3285,africa|madagascar|new york city|sequel|zoo,http://www.imdb.com/title/tt0479952/?ref_=fn_tt_tt_1,119,2008,6.7
Adventure|Comedy|Family|Fantasy,Night at the Museum: Battle of the Smithsonian ,130272,54039,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,http://www.imdb.com/title/tt1078912/?ref_=fn_tt_tt_1,209,2009,5.9
Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men Origins: Wolverine ,361924,40054,army|civil war|claw fight|commando|wolverine the character,http://www.imdb.com/title/tt0458525/?ref_=fn_tt_tt_1,641,2009,6.7
Action|Sci-Fi,The Matrix Revolutions ,364948,1062,battle|epic|fight|future|machine,http://www.imdb.com/title/tt0242653/?ref_=fn_tt_tt_1,2121,2003,6.7
Adventure|Animation|Comedy|Family|Fantasy|Musical,Frozen ,421658,2582,magic|sister love|sister sister relationship|snow|snowman,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,904,2013,7.6
Action|Sci-Fi,The Matrix Reloaded ,421818,534,car motorcycle chase|one against many|oracle|prophecy|stylized violence,http://www.imdb.com/title/tt0234215/?ref_=fn_tt_tt_1,2789,2003,7.2
Action|Adventure|Fantasy,Thor: The Dark World ,414070,59803,arrest|portal|thor|warrior|weapon,http://www.imdb.com/title/tt1981115/?ref_=fn_tt_tt_1,532,2013,7.1
Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road ,552503,40025,australia|desert|escape|on the run|post apocalypse,http://www.imdb.com/title/tt1392190/?ref_=fn_tt_tt_1,1588,2015,8.1
Mystery|Thriller,Angels & Demons ,207839,16948,conclave|illuminati|murder|reference to bernini|reference to raphael,http://www.imdb.com/title/tt0808151/?ref_=fn_tt_tt_1,435,2009,6.7
Action|Adventure|Fantasy,Thor ,536314,60059,battle|marvel cinematic universe|scientist|thor|throne,http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1,738,2011,7
Adventure|Animation|Comedy|Drama|Family,Bolt ,146766,20007,cat|dog|hamster|new york city|superpower,http://www.imdb.com/title/tt0397892/?ref_=fn_tt_tt_1,178,2008,6.9
Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,G-Force ,33042,2217,fbi director|guinea pig|household appliance|secret agent|talking mouse,http://www.imdb.com/title/tt0436339/?ref_=fn_tt_tt_1,90,2009,5.1
Action|Adventure|Fantasy,Wrath of the Titans ,152826,16184,ares|hades|titan|underworld|zeus,http://www.imdb.com/title/tt1646987/?ref_=fn_tt_tt_1,253,2012,5.8
Comedy|Fantasy|Horror,Dark Shadows ,199039,80849,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,http://www.imdb.com/title/tt1077368/?ref_=fn_tt_tt_1,479,2012,6.2
Action|Adventure|Thriller,Mission: Impossible - Rogue Nation ,232187,21840,capture|computer hacker|mission|rogue agent|spy,http://www.imdb.com/title/tt2381249/?ref_=fn_tt_tt_1,440,2015,7.4
Drama|Fantasy|Horror|Thriller,The Wolfman ,89442,13071,asylum|death|full moon|transformation|werewolf,http://www.imdb.com/title/tt0780653/?ref_=fn_tt_tt_1,432,2010,5.8
Action|Adventure|Drama|Romance,The Legend of Tarzan ,42372,21175,africa|capture|jungle|male objectification|tarzan,http://www.imdb.com/title/tt0918940/?ref_=fn_tt_tt_1,239,2016,6.6
Adventure|Animation|Comedy|Family,Bee Movie ,105902,6576,bee|dream sequence|egg|scatological humor|squashed bug,http://www.imdb.com/title/tt0389790/?ref_=fn_tt_tt_1,206,2007,6.2
